00태평양물산        007980PP     1006 10    
00웅진케미칼        008000WJC    1008 10    
00경남에너지        008020KNEC   1017 10    
00동아원            008040DONGASF1005 10    
00대덕전자          008060DE     1013 10    
00대동전자          008110DDE    1013 10    
00이건산업          008250EAGON  1007 10    
00NI스틸            008260NISTL  1011 10    
00남선알미늄        008350NSA    1011 10    
00남선알미우        008355NSA5   1011 10    
00문배철강          008420MBS    1011 10    
00서흥캅셀          008490SHCAP  1008 10    
00일정실업          008500IJI    1006 10    
00메리츠종금증권    008560MERITZ 1024 10    
00윌비스            008600WLB    1016 10    
00아남전자          008700AEC    1013 10    
00아남전자우        008705AEC5   1013 10    
00삼양엔텍          008720SYHM   1012 10    
00율촌화학          008730YCC    1008 10    
00호텔신라          008770SHL    1016 109010
00호텔신라우        008775SHL5   1016 109010
00금비              008870KUMBI  1010 10    
00티이씨앤코        008900TECCO  1013 10    
00한미사이언스      008930HPCL   1026 10    
00동양철관          008970DYSP   1011 10    
00동양철관우        008975DYSP5  1011 10    
00KCTC              009070KCTC   1019 10    
00경인전자          009140KIE    1013 10    
00삼성전기          009150SEM    1013 109011
00삼성전기우        009155SEM5   1013 109011
00SIMPAC            009160SIMPAC 1012 10    
00한솔CSN           009180HANCSN 1019 109130
00대양금속          009190DYM    1011 10    
00무림페이퍼        009200MP     1007 10    
00한샘              009240HSINT  1016 10    
00신원              009270SION   1006 10    
00신원우            009275SION5  1006 10    
00광동제약          009290KDP    1009 10    
00참엔지니어링      009310CHARM  1012 10    
00대우부품          009320DWECC  1013 10    
00태영건설          009410TYE&C  1018 10    
00태영건설우        009415TYE&C5 1018 10    
00한올바이오파마    009420HAP    1009 10    
00KC그린홀딩스      009440KCCTR  1026 10    
00경동나비엔        009450KDNA   1013 10    
00한창제지          009460HCP    1007 10    
00삼화전기          009470SWE    1013 10    
00현대중공업        009540HHI    1015 109021
00무림P&P           009580DHPULP 1007 10    
00모토닉            009680MT     1015 10    
00삼정펄프          009770SJPULP 1007 10    
00고려포리머        009810KP     1016 10    
00한화케미칼        009830HWCC   1008 109101
00한화케미칼우      009835HWCC5  1008 109101
00영원무역홀딩스    009970YO     1026 10    
00한국내화          010040KR     1010 10    
00우리종금          010050KIB    1021 109090
00OCI               010060DCCHEM 1008 109261
00한국프랜지        010100KOF    1015 10    
00LS산전            010120LSIS   1013 109031
00고려아연          010130KZC    1011 109241
00삼성중공업        010140SHI    1015 109011
00삼성중공우        010145SHI5   1015 109011
00한솔PNS           010420HANPNS 1016 109130
10화인자산관리      010460KDFC   1021 10    
00현대하이스코      010520HHYSCO 1011 10    
00지코              010580JICO   1015 10    
00와이비로드        010600YCS    1016 10    
00현대미포조선      010620HMD    1015 109021
00진양폴리          010640CYPU   1008 10    
00화천기계          010660HMW    1012 10    
00화신              010690HWSN   1015 10    
00평화홀딩스        010770PEACE  1026 10    
00아이에스동서      010780ISDS   1010 10    
00퍼스텍            010820FTEC   1012 10    
00S-Oil             010950SOIL   1008 10    
00S-Oil우           010955SOIL5  1008 10    
00삼호개발          010960SDC    1018 10    
00VGX인터           011000VGXI   1016 10    
00LG이노텍          011070LGIT   1013 10    
00에넥스            011090ENEX   1001 10    
00CJ씨푸드          011150SHF&G  1005 10    
00CJ씨푸드1우       011155SHF&G5 1005 10    
00두산건설          011160DSCEC  1018 109020
00롯데케미칼        011170HPC    1008 109081
00현대상선          011200HMM    1019 109020
00현대위아          011210                  
00삼화전자          011230SWF    1013 10    
00태림포장          011280TLP    1007 10    
00성안              011300SAT    1006 10    
00유니켐            011330UCC    1001 10    
00부산산업          011390BSI    1010 10    
00IB월드와이드      011420IBS    1026 10    
00한농화성          011500HNCI   1008 10    
00유양디앤유        011690YYDNU  1013 10    
00한신기계          011700HSMAC  1012 10    
10현대피앤씨        011720HDPC   1008 10    
00현대상사          011760HDCORP 1016 109020
00금호석유          011780KHPTCH 1008 109091
00금호석유우        011785KHPTCH51008 109091
00SKC               011790SKC    1008 109041
00STX               011810STX    1016 10    
00신성솔라에너지    011930SHC    1013 10    
00동부CNI           012030DBF    1026 109140
00영흥철강          012160                  
00키스톤글로벌      012170HSDNP  1016 10    
00계양전기          012200KEYANG 1012 10    
00계양전기우        012205KEYANG51012 10    
