00비아이이엠티      052900       2159 043015400   
00바이넥스          053030       2066 024008310   
00지에스이          053050       2079 025014400   
00세동              053060       2075 024008400   
00소리바다          053110       2154 042015410   
00프리엠스          053160       2072 024008400   
00금강철강          053260       2068 024008400   
00구영테크          053270       2075 024008400   
00예스24            053280       2153 042015300   
00능률교육          053290       2063 024008400   
10테라리소스        053320       2084 027009200   
00와이제이브릭스    053330       2070 024008400   
00이니텍            053350       2155 042015310   
00세코닉스          053450       2074 024008300   
00한국테크놀로지    053590       2085 027009410   
00한국테크놀로지우  053595       2085 027009 10   
00프로텍            053610       2159 043015300   
00태양              053620       2068 024008400   
00현진소재          053660       2068 024008300   
00삼보모터스        053700       2075 024008400   
00국제엘렉트릭      053740       2159 043015300   
00안랩              053800       2155 042015202   
10유비프리시젼      053810       2070 024008400   
00GT&T              053870       2157 043015410   
00경남제약          053950       2066 024008400   
00오상자이엘        053980       2156 042015300   
00한국컴퓨터        054040       2160 043015400   
00농우바이오        054050       2050 021013200   
00삼진엘앤디        054090       2160 043015400   
00중앙오션          054180       2075 024008400   
00이랜텍            054210       2160 043015300   
00비츠로시스        054220       2072 024008400   
00헤스본            054300       2070 024008410   
00피앤텔            054340       2160 043015400   
00케이피티          054410       2068 024008410   
00텔레칩스          054450       2159 043015410   
00삼영엠텍          054540       2068 024008400   
00AP시스템          054620       2159 043015300   
00에이디칩스        054630       2084 027009410   
00대한뉴팜          054670       2066 024008300   
00키이스트          054780       2106 037017300   
00아이디스홀딩스    054800       2099 033012300   
00소프트포럼        054920       2155 042015400   
00유신              054930       2099 033012400   
00엑사이엔씨        054940       2082 026010410   
00제이브이엠        054950       2070 024008200   
00코원              056000       2158 043015410   
00유진로봇          056080       2070 024008410   
00에스에프에이      056190       2070 024008202   
00CU전자            056340       2160 043015400   
00코위버            056360       2157 043015410   
00신화인터텍        056700       2065 024008300   
00아큐픽스          056730       2072 024008410   
00YBM시사닷컴       057030       2102 035012300   
00SKC 솔믹스        057500       2159 043015400   
00옴니시스템        057540       2074 024008400   
00옴니텔            057680       2154 042015410   
00토필드            057880       2157 043015410   
